BFSNr	SiedlungNr	SiedlungName	qualifier	GebäudeAnz	WohnungenAnz	EinwAnz
1	1001	Aeugst (Dorf)	Quartiere	Q	295	378	975
1	1002	Scheller		S	3	4	9
1	1003	Ried		S	2	2	5
1	1004	Götschihof		S	4	13	82
1	1005	Müliberg		S	27	36	101
1	1006	Chloster (Aeugstertal)		S	26	54	100
1	1007	Breiten (Aeugstertal)		S	15	18	41
1	1008	Setziweid		S	1	1	3
1	1009	Hinterweid		S	1	1	2
1	1010	Obertal		S	11	16	31
1	1011	Sunnenberg		S	2	3	6
1	1012	Höchweg		S	1	2	7
1	1013	Seehof		S	4	1	1
1	1014	Habersaat		S	16	23	51
1	1015	Schürmatt		S	2	2	6
1	1016	Sonnenbergstrasse		S	1	3	6
1	1019	Setzi		S	1	2	6
1	1020	Chalet Göldlin		S	1	1	2
1	1021	Untermatt		S	1	2	2
1	1022	Seehalde		S	2	2	4
1	1023	Wängi		S	12	13	40
1	1024	Wängifeld		S	1	1	4
1	1025	Wängihell		S	1	2	4
1	1026	Hormatt		S	1	2	7
1	1027	Weid		S	4	6	14
1	1399	Personen ohne Siedlungs-Nr. 		R	0	0	35
2	2002	Sunnmatt		S	3	2	7
2	2003	Lochhof		S	7	9	25
2	2004	Witloch		S	1	1	2
2	2005	Sandacher		S	2	2	7
2	2006	Widacker		S	1	1	3
2	2008	Münchweid		S	2	1	2
2	2009	Weid (bei Fehrenbach)		S	6	6	17
2	2011	Unterfeld		S	1	1	2
2	2012	Loo		S	55	73	191
2	2013	Eggmatt		S	1	1	3
2	2014	Moosegg		S	2	2	6
2	2015	Sennweid		S	1	1	6
2	2016	Rossmättli		S	2	2	2
2	2017	Heurüti		S	1	2	4
2	2018	Langacher		S	1	1	4
2	2019	Zwillikon		S	117	252	620
2	2021	Fehrenbach		S	43	83	194
2	2022	Schanz		S	1	1	2
2	2024	Hüslimatt		S	1	1	2
2	2025	Zwillikermoos		S	2	4	6
2	2026	Aespli		S	2	2	7
2	2027	Aelpli		S	1	1	4
2	2031	Ess		S	1	1	3
2	2032	Schwanden		S	3	3	11
2	2034	Innere Butzen		S	1	1	1
2	2035	Äussere Butzen		S	1	1	2
2	2038	Wil		S	5	6	16
2	2039	Spitzenstein		S	1	1	3
2	2043	Tannhof		S	2	1	2
2	2044	Untere Allmend		S	2	2	3
2	2045	Obere Allmend		S	1	1	2
2	2046	Feldhof		S	1	1	3
2	2047	Rorenmoos		S	1	1	2
2	2048	Affoltern (Dorf)	Quartiere	Q	1’480	3’597	8’928
2	2399	Personen ohne Siedlungs-Nr. 		R	0	0	222
3	3001	Bonstetten (Dorf)		S	430	920	2’260
3	3002	Schachen		S	341	515	1’278
3	3003	Chäsern		S	2	2	7
3	3004	Lüttenberg		S	9	11	25
3	3006	Hirschenbach		S	1	1	3
3	3007	Dachenmas		S	1	1	3
3	3008	Sol		S	1	1	3
3	3009	Gibel		S	1	1	4
3	3010	Stocken		S	2	2	6
3	3012	Heurain		S	5	4	7
3	3013	Bluemelen		S	1	2	6
3	3015	Lätten		S	5	3	11
3	3016	Zil		S	1	1	2
3	3017	Rebacher		S	1	2	4
3	3020	Feld		S	1	1	2
3	3021	Züriweg		S	2	2	5
3	3024	Grund		S	2	2	6
3	3025	Stein		S	2	3	4
3	3027	Lochen		S	6	6	17
3	3028	Gemeindeacher		S	1	1	2
3	3399	Personen ohne Siedlungs-Nr. 		R	0	0	238
4	4001	Hausen	Quartiere	Q	565	815	2’056
4	4006	Türlen		S	12	16	47
4	4007	Seeboden		S	1	1	1
4	4008	Vollenweid		S	17	15	45
4	4009	Riedmatt		S	7	9	22
4	4010	Tüfenbach		S	11	13	35
4	4011	Unter-Seeberig		S	1	1	2
4	4012	Seeberig		S	3	2	5
4	4013	Neu-Schonau		S	1	1	5
4	4014	Weid		S	2	2	5
4	4015	Farbüel		S	2	2	7
4	4016	Grindlen		S	2	4	10
4	4017	Albishorn		S	2	2	4
4	4018	Grossrain		S	2	2	6
4	4020	Hinter-Albis		S	6	8	23
4	4021	Neuhus		S	1	2	6
4	4023	Mittel-Albis		S	9	9	26
4	4024	Ibech		S	1	1	2
4	4025	Mönchbüel		S	1	1	4
4	4029	Rüebigsbüel		S	1	2	11
4	4030	Ober-Albis		S	11	14	33
4	4031	Wiesengrund		S	1	2	4
4	4032	Ebertswil		S	132	167	429
4	4033	Weidli		S	1	1	4
4	4035	Husertal		S	14	17	50
4	4036	Houen		S	2	3	10
4	4037	Hirzwangen		S	14	14	44
4	4038	Schweikhof		S	5	6	14
4	4039	Schönau		S	1	1	3
4	4040	Unter-Hirzwangen		S	1	2	8
4	4041	Wesenmatt		S	6	6	16
4	4042	Bruggrain		S	1	2	3
4	4043	Sihlbrugg (nordwestl. Teil)		S	3	3	6
4	4399	Personen ohne Siedlungs-Nr. 		R	0	0	94
5	5001	Hedingen (Dorf)		S	709	1’099	2’835
5	5002	Geissweid		S	1	2	5
5	5003	Eichmatt		S	2	2	5
5	5004	Stocken		S	2	2	7
5	5005	Buchsmatten		S	1	2	3
5	5006	Moos		S	1	1	3
5	5008	Himmelsbühl		S	1	1	3
5	5009	Ismatt		S	11	9	23
5	5010	Grindelmatten		S	2	2	8
5	5011	Sälen		S	2	2	6
5	5012	Hasenacher		S	3	3	11
5	5015	Fromoos		S	5	6	19
5	5016	Feldenmas		S	1	2	7
5	5017	Lärchen		S	1	1	5
5	5018	Rütihof		S	2	2	5
5	5019	Hirslen		S	1	2	4
5	5020	Dürrenbach		S	3	3	9
5	5021	Tannenmoos		S	1	2	7
5	5399	Personen ohne Siedlungs-Nr. 		R	0	0	26
6	6001	Kappel (Dorf)		S	64	78	211
6	6002	Weid (bei Hauptikon)		S	3	3	9
6	6003	Näfenhäuser		S	16	20	48
6	6004	Hauptikon		S	38	57	157
6	6005	Rütihof		S	1	1	1
6	6006	Ror		S	1	1	5
6	6007	Rossweid		S	1	1	5
6	6008	Waldhof		S	2	2	9
6	6009	Allenwinden		S	5	5	15
6	6010	Kappelerhöhe		S	2	1	2
6	6011	Uerzlikon		S	75	105	262
6	6012	Herti		S	2	2	8
6	6013	Bäumler		S	2	2	7
6	6014	Wolfsacker		S	3	3	5
6	6015	Ober-Weid (bei Uerzlikon)		S	1	1	1
6	6016	Leematt		S	4	5	16
6	6017	Schürweid		S	3	4	9
6	6018	Weid (bei Uerzlikon)		S	4	5	14
6	6019	Unter-Weid (bei Uerzlikon)		S	1	3	8
6	6020	Feld		S	19	19	51
6	6399	Personen ohne Siedlungs-Nr. 		R	0	0	22
7	7001	Knonau (Dorf)		S	252	422	1’077
7	7002	Stiegenbühl		S	1	1	2
7	7003	Waldhof		S	1	2	4
7	7004	Hinteruttenberg / Büel		S	1	1	7
7	7005	Stöckweid		S	1	2	6
7	7006	Hinteruttenberg		S	17	24	72
7	7007	Eichhof		S	1	1	6
7	7008	Vorderuttenberg		S	16	23	53
7	7009	Wingarten		S	1	1	3
7	7010	Margel		S	1	2	9
7	7011	Büelweid		S	1	2	7
7	7012	Binzmatt		S	1	1	1
7	7013	Boggsmatten		S	4	4	11
7	7014	Grund		S	1	2	4
7	7015	Weid		S	1	1	4
7	7016	Amlisberg		S	1	1	3
7	7018	Rossi		S	2	1	2
7	7019	Pestalozzi-Stiftung		S	7	11	47
7	7020	Aspli		S	1	1	2
7	7022	Baareggstrasse		S	2	4	8
7	7023	Langacher		S	1	3	5
7	7024	Hirzrain		S	2	2	8
7	7025	Baaregg		S	13	18	46
7	7026	Buchhof		S	3	4	11
7	7027	Marchstein		S	2	2	11
7	7029	Hasental		S	2	2	5
7	7399	Personen ohne Siedlungs-Nr. 		R	0	0	31
8	8001	Maschwanden (Dorf)		S	130	186	485
8	8002	Weid		S	3	4	7
8	8003	Grischhei		S	2	2	9
8	8004	Rüteli		S	3	3	11
8	8005	Rain		S	6	11	18
8	8006	Neumatt		S	1	1	4
8	8399	Personen ohne Siedlungs-Nr. 		R	0	0	19
9	9001	Mettmenstetten	Mettmenstetten	S	607	1’105	2’798
9	9005	Kappelhof		S	1	1	3
9	9006	Waldhof, Dachlissen		S	1	1	5
9	9007	Winkelhalde		S	1	1	2
9	9008	Grossholz		S	10	14	42
9	9009	Grüt		S	3	3	5
9	9011	Dachlissen		S	39	52	135
9	9013	Stockweid		S	1	2	6
9	9014	Sunnegg		S	1	3	4
9	9015	Eigi		S	10	12	22
9	9016	Schüren		S	3	4	8
9	9017	Schüenweid		S	2	2	9
9	9018	Schauenberg		S	2	2	7
9	9019	Feldhof		S	1	1	2
9	9020	Kinderheim Paradis		S	2	3	23
9	9021	Hinter Buchstock		S	1	1	1
9	9022	Buchstock		S	4	3	9
9	9023	Stäppel		S	1	1	2
9	9024	Siderain		S	1	2	2
9	9025	Hübscheren		S	4	5	16
9	9026	Herferswil		S	29	32	86
9	9027	Lätten		S	1	1	2
9	9028	Linden		S	2	2	7
9	9029	Lindenmatt		S	2	1	4
9	9030	Tambrig		S	1	2	6
9	9031	Moosmatt		S	2	2	7
9	9032	Moosmatten		S	1	1	2
9	9033	Waldmatt		S	1	1	6
9	9035	Waldhof		S	1	1	3
9	9036	Allmend		S	1	2	8
9	9037	Neugut		S	2	1	3
9	9038	Schürmatt		S	2	2	6
9	9039	Im Höngger		S	1	1	1
9	9040	Sunnenberg		S	2	3	5
9	9041	Sunnmatt		S	1	2	4
9	9042	Freudenberg		S	3	2	10
9	9043	Sunnehof		S	2	2	7
9	9044	Tschuepis		S	1	2	3
9	9045	Wiesengrund		S	1	1	4
9	9046	Weidhof		S	1	2	6
9	9047	Stockacher		S	1	1	5
9	9048	Haselhof		S	1	1	2
9	9049	Tannbühl		S	1	1	3
9	9050	Aspli		S	2	3	7
9	9051	Wissenbach		S	11	13	34
9	9052	Sternen		S	1	1	5
9	9053	Neuguet, Rossau		S	1	2	6
9	9054	Bergli, Rossau		S	1	1	2
9	9056	Zur Weid, Rossau		S	4	5	61
9	9057	Rossau		S	56	56	209
9	9060	Aarbach		S	1	1	3
9	9399	Personen ohne Siedlungs-Nr. 		R	0	0	106		
10	10001	Obfelden (Dorf)	Quartiere	Q	1’007	1’573	4’039
10	10007	Tambrig		S	1	2	3
10	10009	Breitenerli		S	3	2	6
10	10019	Lunnerfeld		S	1	2	3
10	10399	Personen ohne Siedlungs-Nr. 		R	0	0	131
11	11001	Ottenbach (Dorf)		S	578	783	2’039
