Jahr;Text		
01.02.2018		
01. Mär		
02. Mär		
01.04.2018		
03.04.2018		
05.04.2018		
08.04.2018		
01.05.2018		
02.05.2018		
01.08.2018		
08.09.2018		
[Andere		
[Den]		
[Donnerstags]		
[Donstag]		
[Eingelegte		
[Eingelegter		
[Eingelegtes		
[Fortsetzung		
[Freitags]		
[Fürs]		
[Gestrichen		
[Hand		
[Hanß]		
[Hebräisch		
[Man		
[Mon]tags		
[Nachfolgende		
[Sind		
[Son]tägliches		
[Sonn]tag		
[Sonn]tags		
[Spätere		
[Stillstandsordnung]		
[Summa]		
[To]gweiler		
[Y]tzikon		
[Zeichnung		
[Zintags]		
A[dli]schw[yl]	131001	
A[dli]schw[yler]	131001	
A[nn]us		
A[nno]		
A[nnus]		
Aathal	217011	
Abänderung		
Abegg	*	
Abeggen		
Abeggin		
Abendgebätt		
Aberat		
Abgehnde		
Abgekennt		
Ablaß		
Abrah[amen]		
Abraham		
Abrahamen		
Abrahamm		
Abrahammen		
Abrahams		
Ac[tum]		
Achel		
Achior		
Achitophels		
Ackeret		
Ackermann		
Ackermans		
Acriter		
Actio		
Actuarius		
Actum		
Adali		
Adam		
Adamen		
Adamli		
Adamms		
Adams		
Ade[t]schwyl	111026	
Adelh		
Adelh[eit]		
Adelhart		
Adelhaußen	116038	ev.
Adelheid		
Adelheit		
Adelheiten		
Adelhusers		
Adelhußen	116038	ev.
Adeli		
Adelis		
Adelishanß[en]		
Adelishanßen		
Adelshanßen		
Adelshaußen	116038	ev.
Adelshusen	116038	ev.
Adelshußen	116038	ev.
Aderant		
Adetschweiler	111026	
Adetschwyl	111026	
Adetschwyler		
Adleschw[yl]	131001	
Adleschwyl	131001	
Adletshausen	116038	
Adletshauser		
Adletshusen	116038	
Adletshuser		
Adli		
Adliken	21001	
Adlikon	21001	
Adlis		
Adlischw[yl]	131001	
Adlischweil	131001	
Adlischwyl	131001	
Adlishanßen		
Adtlischw[yl]	131001	
Adtlischwyl	131001	
Afeltranger		
Affeltranger		
Affeltrangers		
Affhalteren		
Affholt[eren]	2001	
Affholteren	2001	
Affholtren	2001	
Affoltren	2001	
Affran		ev. 2
Affren		ev. 2
Afholteren	2001	
Afohelteren	2001	
Afra		
Agatha		
Aggli		
Albertin		
Albis	136021	
Albisrieden	261910	
Albiß		
Aldorten	*	
Alex[ander]		
Alexander		
Alexannder		
Algier		
Allbrächten		
Alldo		
Allenberg	111051	
Alles		
Allexander		
Allgoüw		
Alli		
Allmoßen		
Almosenpflëger		
Almosenrechnung		
Almosensbereinigung		
Almosensteühr		
