Eigenname	BFS (Siedlungsverz.)	norm. Pers./Ort	Kategorie
[Hanß]		Hans	persName
[To]gweiler		Togweiler	persName
A[dli]schw[yler]		Adliswiler	persName
Abegg	*	Abegg	persName
Abeggen		Abegg	persName
Abeggin		Abegg	persName
Abrah[amen]		Abraham	persName
Abraham		Abraham	persName
Abrahamen		Abraham	persName
Abrahamm		Abraham	persName
Abrahammen		Abraham	persName
Abrahams		Abraham	persName
Achior		Achior	persName
Achitophels		Achitophel	persName
Ackeret		Ackeret	persName
Ackermann		Ackermann	persName
Ackermans		Ackermann	persName
Adali		Adali	persName
Adam		Adam	persName
Adamen		Adam	persName
Adamli		Adam	persName
Adamms		Adam	persName
Adams		Adam	persName
Adelh		Adelheid	persName
Adelh[eit]		Adelheid	persName
Adelheid	111026	Adelheid	persName
Adelheit		Adelheit	persName
Adelheiten		Adelheid	persName
Adeli		Adelheid	persName
Adelis		Adelheid	persName
Adetschweiler		Adetswiler	persName
Adletshauser	111026	Adletshuser	persName
Adletshuser	131001	Adletshuser	persName
Affeltranger	131001	Affeltranger	persName
Affeltrangers		Affeltranger	persName
Agatha		Agatha	persName
Alex[ander]		Alexander	persName
Alexander	136021	Alexander	persName
Alexannder	261910	Alexander	persName
Allbrächten	*	Albrecht	persName
Allexander		Alexander	persName
Altenberger		Altenberger	persName
Altenbergeren		Altenberger	persName
Altenbergerin		Altenberger	persName
Altenburger		Altenburger	persName
Altorffer		Altdorfer	persName
Altorfferen		Altdorfer	persName
Ambüel	*	Ambühl	persName
Amman		Ammann	persName
Ammann	*	Ammann	persName
Ammänneren		Ammann	persName
Ammanns	*	Ammann	persName
Ammans		Ammann	persName
Amsler		Amsler	persName
Ana		Anna	persName
Andereas		Andreas	persName
André	30001	André	persName
Andreas		Andreas	persName
Andres		Andres	persName
Andresen		Andres	persName
Andreß	30001	Andres	persName
Aneli		Anna	persName
Angnes		Agnes	persName
Angst		Angst	persName
Angsten		Angst	persName
Angstenen		Angst	persName
Angstin		Angst	persName
Ankli		Ankli	persName
Anklis		Ankli	persName
Anna		Anna	persName
Annæ		Anna	persName
Annali		Anna	persName
Anneli		Anna	persName
Annelis		Anna	persName
Annen		Annen	persName
Anni		Anna	persName
Ant[oni]		Anton	persName
Anthoni		Anton	persName
Anton		Anton	persName
Antoni		Anton	persName
Apenzeller		Appenzeller	persName
Appenzeller		Appenzeller	persName
Arter		Arter	persName
Arters		Arter	persName
Aschmann		Aschmann	persName
Asp		Asp	persName
Asper		Asper	persName
Augustinus		Augustinus	persName
Augustus		Augustus	persName
Auslickeren		Ausliker	persName
Auslikeren		Ausliker	persName
Außlicker		Ausliker	persName
B[arbara]		Barbara	persName
Babara		Barbara	persName
Bächels-Rüter		Bächelsrüter	persName
Bachman		Bachmann	persName
Bachmann		Bachmann	persName
Bachmannen		Bachmann	persName
Bachmannin		Bachmann	persName
Bachofen		Bachofen	persName
Bachofer		Bachofer	persName
Bachoffner		Bachofner	persName
Bachoffners		Bachofner	persName
Bachofner		Bachofner	persName
Bachofnerin		Bachofner	persName
Bachofners		Bachofner	persName
Baggenstoß		Baggenstoss	persName
Baggenstoßin		Baggenstoss	persName
Bährin		Bär	persName
Baltenschwyler		Baltenswiler	persName
Balth[assar]		Balthasar	persName
Balth[aßer]		Balthasar	persName
Balth[aßers]		Balthasar	persName
Balthasar		Balthasar	persName
Balthassar		Balthasar	persName
Balthasser		Balthasar	persName
Balthaßar		Balthasar	persName
Balthaßers		Balthasar	persName
Bannwart		Bannwart	persName
Bannwarten		Bannwart	persName
Banwart		Bannwart	persName
Banwarten		Bannwart	persName
Banwartin		Bannwart	persName
Bär		Bär	persName
Bar[egger]		Baregger	persName
Barb[ar]a		Barbara	persName
Barb[ara]		Barbara	persName
Barb[el]		Barbara	persName
Barbali		Barbara	persName
