	
Päpstl.	Päpstlichen
speyen	speien
gestraffet	strafen
Schriftsteller	Schriftsteller
remonstriert	remonstriert
Flöh	Flöh
Verwaißten	verwaist
Obliegenheit	Obliegenheit
gewiedmet	widmen
Gewaffnet	Gewaffnet
Solange	solange
Nimmet	nehmen
Transporteur	Transporteur
unterschiedlicher	unterschiedlich
allhiesiger	allhiesiger
ungebauet	ungebauet
darhin	dahin
beschloß	beschließen
Raiß	Reis
Freudentag	Freudentag
Process	Prozess
Gelt	Geld
Thonau	Thonau
Fenstern	Fenster
Scot	Scot
erschrickt	erschrecken
inmassen	inmassen
äusseriste	äusseriste
Ehren-Ampte	Ehren-Ampte
Schaf-Hut	Schaf-Hut
Ruckkunfft	Ruckkunfft
Verborgenheit	Verborgenheit
Quadratmeilen	Quadratmeile
Handwerkern	Handwerkern
Schiffenden	Schiffenden
schont	schont
FriedensVergnügungen	FriedensVergnügungen
Besuchen	Besuch
triumpho	triumpho
wolbehaltende	wolbehaltende
Methode	Methode
lusterenden	lusterenden
grauen	grau
Paßquinaten	Paßquinaten
schwör	schwör
Fleury	Fleury
Sterbebett	Sterbebett
genanten	genanten
fundamenta	Fundamentah
amarmi	amarmi
unbegreifflich-grosser	unbegreifflich-grosser
Bäu	Boy
rauschenden	rauschenden
Amptleuthen	Amptleuthen
Danae	Danae
truckenen	Truckgenen
böheimisches	böheimisches
jenen	jen
fruchtbaren	fruchtbar
Beleidigungen	Beleidigung
Moritzburg	Moritzburg
Dolmetscher	Dolmetscher
Assistenz	Assistenz
überlief	überlief
waschnaß	waschnaß
Uebergebung	Übergebung
Glanz	Glanz
jejunium	jejunium
Vertrags-weis	Vertrags-weis
seglfertig	seglfertig
Haman	Haman
Anmelden	Anmelden
Ertz-Cämmerers	Ertz-Cämmerers
erkühnt	erkühnt
Gemüths-Bewegung	Gemüths-Bewegung
credo	Credo
Behausungen	Behausung
heraus	heraus
erhabnern	erhabnern
Partimenten	Partimenten
Gegenverfassung	Gegenverfassung
Stroh-Werck	Stroh-Werck
Verlassenschafften	Verlassenschafften
Wagen	Wagen
ausgesezt	aussetzen
Verzögerungen	Verzögerung
PM	zu
ordentliche	ordentlich
angefangt	anfangen
halb	halb
aufdrangen	aufdrangen
forgefahren	vorfahren
Capriolen	Kapriolen
übertreffet	übertreffet
fia	via
Verrechnung	Verrechnung
ausgelesen	auslesen
Bekanntschaften	Bekanntschaften
Hecheln	Hecheln
můsse	müssen
scharffer	scharf
Tücke	Tücke
Geflügels	Geflügels
verwundern	verwundern
Latien	Latien
Charleroy	Charleroi
erblickete	erblicken
Regiments-Sorgen	Regiments-Sorgen
Tödtungs-Begierde	Tödtungs-Begierde
würcklichen	wirklich
anlanget	anlangen
Thränen-Saltze	Thränen-Saltze
Schwindel-Geist	Schwindel-Geist
Franzoß	Franzoß
Meyl	Mail
Cavalleri	Cavaleri
eilten	eilen
Vermischung	Vermischung
Hiacinthus	Hiacinthus
ankündigen	ankündigen
Prüffet	prüfet
dekt	decken
Diffamation	Diffamation
rari	rari
Besemen	besämen
Nähern	Nähern
Jetzo	jetzt
ausspannt	ausspannen
Chylus	Chylus
nützlichste	nützlichste
Winterquartiere	Winterquartier
Majestäten	Majestäten
klopf	klopf
obliegt	obliegen
Carolinischen	Carolinischen
Kalck-Berge	Kalck-Berge
Gemüthe-	Gemüt
aberwitzigen	Haidenschaft
kennten	kennten
Franckfurt	Frankfurt
Zephyr	Zephir
begreifenden	begreifenden
Fiscaln	Fiscaln
lasciviæ	lasciviae
verpflichte	verpflichten
verzeihen	verzeihen
singest	singest
Herumreuten	Herumreuten
Heil.	heilig
geplagte	geplagte
Vrinalis	Vrinalis
außgerissener	ausgerissen
Ober-Hof-Marschall	Ober-Hof-Marschall
liebes	Liebe
Melusine	Melusine
Præses	Präses
Reichs-Constitutionen	Reichs-Constitutionen
kuriren	kurieren
